year,city,state,lat,long,total_pop,violent_crime,homs_sum,rape_sum,rob_sum,agg_ass_sum
1976,Denver,Colorado,39.7392358,-104.990251,523676,4107,86,383,2042,1596
1976,Detroit,Michigan,42.331427,-83.0457538,1334100,29699,663,1230,21213,6593
1976,El Paso,Texas,31.7775757,-106.4424559,361413,1573,25,118,792,638
1976,Fort Worth,Texas,32.7554883,-97.3307658,364302,1732,70,174,985,503
1976,Fresno,California,36.7468422,-119.7725868,177900,1267,28,55,723,461
1976,Honolulu,Hawaii,21.3069444,-157.8583333,718424,1696,40,164,1112,380
1976,Houston,Texas,29.7604267,-95.3698028,1477000,8045,321,690,5531,1503
1976,Indianapolis,Indiana,39.768403,-86.158068,494730,4144,68,347,2366,1363
1976,Jacksonville,Florida,30.3321838,-81.655651,543839,4443,90,279,1558,2516
1976,Kansas City,Missouri,39.0997265,-94.5785667,488012,5578,95,350,2410,2723
1976,Las Vegas,Nevada,36.1699412,-115.1398296,265347,2473,35,151,1276,1011
1976,Long Beach,California,33.7700504,-118.1937395,340900,2950,69,200,1703,978
1976,Los Angeles,California,34.0522342,-118.2436849,2739100,31960,501,2047,14225,15187
1976,Louisville,Kentucky,38.2526647,-85.7584557,0,0,0,0,0,0
1976,Memphis,Tennessee,35.1495343,-90.0489801,649819,4780,113,472,2429,1766
1976,Mesa,Arizona,33.4151843,-111.8314724,100763,311,5,15,89,202
1976,Miami,Florida,25.7616798,-80.1917902,338721,5172,84,145,2313,2630
1976,Milwaukee,Wisconsin,43.0389025,-87.9064736,652517,2692,57,168,1621,846
1976,Minneapolis,Minnesota,44.977753,-93.2650108,397421,2954,27,300,1407,1220
1976,Nashville,Tennessee,36.1626638,-86.7816016,445979,2831,74,129,1722,906
1976,New Orleans,Louisiana,29.9510658,-90.0715323,557327,4810,170,264,2600,1776
1976,New York,New York,40.7127837,-74.0059413,7530493,134153,1622,3400,86183,42948
1976,Newark,New Jersey,40.735657,-74.1723667,367886,6565,99,323,3834,2309
1976,Oakland,California,37.8043637,-122.2711137,333100,5514,98,309,2894,2213
1976,Oklahoma City,Oklahoma,35.4675602,-97.5164276,376522,2360,36,228,770,1326
1976,Omaha,Nebraska,41.2523634,-95.9979883,388592,2008,19,193,788,1008
1976,Orlando,Florida,28.5383355,-81.3792365,116848,1118,17,98,327,676
1976,Philadelphia,Pennsylvania,39.9525839,-75.1652215,1916665,13113,338,764,7786,4225
1976,Phoenix,Arizona,33.4483771,-112.0740373,669005,3856,53,240,1485,2078
1976,Pittsburgh,Pennsylvania,40.4406248,-79.9958864,487106,4621,62,287,2419,1853
1976,Portland,Oregon,45.5230622,-122.6764816,379818,4304,39,322,1913,2030
1976,Raleigh,North Carolina,35.7795897,-78.6381787,148093,531,11,29,138,353
1976,Sacramento,California,38.5815719,-121.4943996,260700,2799,52,192,1187,1368
1976,Salt Lake City,Utah,40.7607793,-111.8910474,175400,959,11,102,482,364
1976,San Antonio,Texas,29.4241219,-98.4936282,753069,3285,119,263,1262,1641
1976,San Diego,California,32.715738,-117.1610838,773400,4118,59,233,2271,1555
1976,San Francisco,California,37.7749295,-122.4194155,665000,10756,130,619,6628,3379
1976,San Jose,California,37.3382082,-121.8863286,557700,2523,37,296,967,1223
1976,Seattle,Washington,47.6062095,-122.3320708,503500,4128,42,322,2163,1601
1976,St. Louis,Missouri,38.6270025,-90.1994042,534206,9574,182,489,5303,3600
1976,Tampa,Florida,27.950575,-82.4571776,274568,2935,42,162,1025,1706
1976,Tucson,Arizona,32.2217429,-110.926479,340927,1464,24,136,554,750
1976,Tulsa,Oklahoma,36.1539816,-95.992775,349516,1747,27,131,392,1197
1976,Virginia Beach,Virginia,36.8529263,-75.977985,216176,481,12,59,157,253
1976,Washington,District of Columbia,38.9071923,-77.0368707,702000,10399,188,508,7044,2659
1976,Wichita,Kansas,37.688889,-97.336111,256455,1114,19,111,514,470
1977,Albuquerque,New Mexico,35.0853336,-106.6055534,292341,2390,31,207,754,1398
1977,Arlington,Texas,32.735687,-97.1080656,112994,389,4,34,85,266
1977,Atlanta,Georgia,33.7489954,-84.3879824,440300,7595,138,510,3354,3593
1977,Aurora,Colorado,39.7294319,-104.8319195,137200,585,3,42,166,374
1977,Aurora,Illinois,41.7605849,-88.3200715,137200,585,3,42,166,374
1977,Austin,Texas,30.267153,-97.7430608,321900,1260,33,187,512,528
1977,Baltimore,Maryland,39.2903848,-76.6121893,827494,14283,171,499,7563,6050
1977,Boston,Massachusetts,42.3600825,-71.0588801,619321,9422,75,408,5655,3284
1977,Buffalo,New York,42.8864468,-78.8783689,415352,3945,45,236,1822,1842
1977,Chicago,Illinois,41.8781136,-87.6297982,3086806,28873,823,1227,16512,10311
1977,Cincinnati,Ohio,39.1031182,-84.5120196,423671,3439,72,291,1625,1451
1977,Cleveland,Ohio,41.49932,-81.6943605,638793,9421,249,508,6466,2198
