year,city,state,lat,long,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime
1986,Seattle,WA,47.6062095,-122.3320708,501279,50,443,2792,3505,6790
1986,National,,,,14341223,3368,10238,150234,133164,297004
1987,Chicago,IL,41.850033,-87.6500523,3018338,689,3692,29815,34172,68368
1987,Los Angeles,CA,34.0522342,-118.2436849,3341726,811,2169,26192,34661,63833
1987,Miami,FL,25.7742658,-80.1936589,385089,128,202,5594,5385,11309
1987,New York,NY,40.76149276,-73.98143112,7284319,1672,3507,78890,64244,148313
1987,Seattle,WA,47.6062095,-122.3320708,494426,54,465,2959,3618,7096
1987,National,,,,14523898,3354,10035,143450,142080,298919
1988,Chicago,IL,41.850033,-87.6500523,2994100,660,3695,28975,35988,69318
1988,Los Angeles,CA,34.0522342,-118.2436849,3402342,736,2006,26182,37812,66736
1988,Miami,FL,25.7742658,-80.1936589,389720,146,411,6398,6006,12961
1988,New York,NY,40.76149276,-73.98143112,7346352,1896,3412,86578,71030,162916
1988,Seattle,WA,47.6062095,-122.3320708,505380,56,439,2709,3675,6879
1988,National,,,,14637894,3494,9963,150842,154511,318810
1989,Chicago,IL,41.850033,-87.6500523,2988260,742,3645,31588,37615,73590
1989,Los Angeles,CA,34.0522342,-118.2436849,3441449,877,1996,31063,43361,77297
1989,Miami,FL,25.7742658,-80.1936589,381206,132,285,7289,6387,14093
1989,New York,NY,40.76149276,-73.98143112,7369454,1905,3254,93377,70951,169487
1989,Seattle,WA,47.6062095,-122.3320708,514398,38,478,2448,3914,6878
1989,National,,,,14694767,3694,9658,165765,162228,341345
1990,Chicago,IL,41.850033,-87.6500523,2783726,851,3607,37156,41114,82728
1990,Los Angeles,CA,34.0522342,-118.2436849,3485398,983,2014,36098,44714,83809
1990,Miami,FL,25.7742658,-80.1936589,358548,129,299,8172,7007,15607
1990,New York,NY,40.76149276,-73.98143112,7322564,2245,3126,100280,68891,174542
1990,Seattle,WA,47.6062095,-122.3320708,516259,53,481,2695,4551,7780
1990,National,,,,14466495,4261,9527,184401,166277,364466
1991,Chicago,IL,41.850033,-87.6500523,2811478,925,3575,43783,42237,90520
1991,Los Angeles,CA,34.0522342,-118.2436849,3558316,1027,1966,39778,47104,89875
1991,Miami,FL,25.7742658,-80.1936589,367945,125,236,8477,6582,15420
1991,New York,NY,40.76149276,-73.98143112,7350023,2154,2892,98512,66832,170390
1991,Seattle,WA,47.6062095,-122.3320708,532418,43,398,2761,4019,7221
1991,National,,,,14620180,4274,9067,193311,166774,373426
1992,Chicago,IL,41.850033,-87.6500523,2832901,960,3754,38448,41080,84242
1992,Los Angeles,CA,34.0522342,-118.2436849,3615355,1094,1872,39508,46445,88919
1992,Miami,FL,25.7742658,-80.1936589,373791,128,272,7065,6480,13945
1992,New York,NY,40.76149276,-73.98143112,7375097,1995,2815,91239,63529,159578
1992,Seattle,WA,47.6062095,-122.3320708,544940,60,353,2577,4337,7327
1992,National,,,,14742084,4237,9066,178837,161871,354011
1993,Chicago,IL,41.850033,-87.6500523,2788996,862,3379,35189,39753,79183
1993,Los Angeles,CA,34.0522342,-118.2436849,3525317,1076,1773,38415,42437,83701
1993,Miami,FL,25.7742658,-80.1936589,372519,127,204,7082,7089,14502
1993,New York,NY,40.76149276,-73.98143112,7347257,1946,2818,86001,62778,153543
1993,Seattle,WA,47.6062095,-122.3320708,531274,67,356,2670,4344,7437
1993,National,,,,14565363,4078,8530,169357,156401,338366
1994,Chicago,IL,41.850033,-87.6500523,2802494,938,3048,33925,40380,78291
1994,Los Angeles,CA,34.0522342,-118.2436849,3550381,845,1554,30817,39886,73102
1994,Miami,FL,25.7742658,-80.1936589,379980,116,221,5841,6793,12971
1994,New York,NY,40.76149276,-73.98143112,7336224,1561,2666,72540,59755,136522
1994,Seattle,WA,47.6062095,-122.3320708,540268,69,318,2536,3615,6538
1994,National,,,,14609347,3529,7807,145659,150429,307424
1995,Chicago,IL,41.850033,-87.6500523,2749811,824,2896,30086,39205,73011
1995,Los Angeles,CA,34.0522342,-118.2436849,3466211,849,1590,29134,38945,70518
1995,Miami,FL,25.7742658,-80.1936589,378720,110,198,5676,6943,12927
1995,New York,NY,40.76149276,-73.98143112,7319546,1177,2317,59278,51251,114023
1995,Seattle,WA,47.6062095,-122.3320708,529526,41,260,2213,2390,4904
1995,National,,,,14443814,3001,7261,126387,138734,275383
1996,Chicago,IL,41.850033,-87.6500523,2754118,789,2752,26860,37097,67498
1996,Los Angeles,CA,34.0522342,-118.2436849,3498139,711,1463,25189,35477,62840
1996,Miami,FL,25.7742658,-80.1936589,384976,124,201,5139,6526,11990
1996,New York,NY,40.76149276,-73.98143112,7339594,983,2332,49672,45673,98660
1996,Seattle,WA,47.6062095,-122.3320708,539591,37,261,1963,2282,4543
1996,National,,,,14516418,2644,7009,108823,127055,245531
1997,Chicago,IL,41.850033,-87.6500523,2765852,757,2545,25289,36519,65110
1997,Los Angeles,CA,34.0522342,-118.2436849,3541309,576,1413,20506,34043,56538
1997,Miami,FL,25.7742658,-80.1936589,391766,98,189,4517,6214,11018
1997,New York,NY,40.76149276,-73.98143112,7320477,770,2157,44708,45218,92853
1997,Seattle,WA,47.6062095,-122.3320708,547209,49,218,2081,2654,5002
1997,National,,,,14566613,2250,6522,97101,124648,230521
1998,Chicago,IL,41.850033,-87.6500523,2750917,703,2387,23117,36110,62317
1998,Los Angeles,CA,34.0522342,-118.2436849,3621680,426,1395,15835,31545,49201
1998,Miami,FL,25.7742658,-80.1936589,372949,86,140,3797,5482,9505
1998,New York,NY,40.76149276,-73.98143112,7357745,633,2046,39359,43853,85891
1998,Seattle,WA,47.6062095,-122.3320708,538105,49,242,1728,2456,4475
1998,National,,,,14641396,1897,6210,83836,119446,211389
1999,Chicago,IL,41.850033,-87.6500523,2821032,641,2469,20210,28027,51347
1999,Los Angeles,CA,34.0522342,-118.2436849,3650138,425,1288,14411,30716,46840
1999,Miami,FL,25.7742658,-80.1936589,373450,63,113,3076,4609,7861
1999,New York,NY,40.76149276,-73.98143112,7429263,664,1702,36091,40488,78945
1999,Seattle,WA,47.6062095,-122.3320708,542954,45,188,1642,2291,4166
1999,National,,,,14816837,1838,5760,75430,106131,189159
2000,Chicago,IL,41.850033,-87.6500523,2896016,631,2001,19345,26545,48522
2000,Los Angeles,CA,34.0522342,-118.2436849,3694820,550,1459,15527,32705,50241
2000,Miami,FL,25.7742658,-80.1936589,362470,66,118,3077,4616,7877
2000,New York,NY,40.76149276,-73.98143112,8008278,673,1630,32558,40831,75692
2000,Seattle,WA,47.6062095,-122.3320708,563374,36,181,1653,2463,4333
2000,National,,,,15524958,1956,5389,72160,107160,186665
2001,Chicago,IL,41.850033,-87.6500523,2910709,666,1976,18433,25533,46608
2001,Los Angeles,CA,34.0522342,-118.2436849,3763486,588,1409,17166,33080,52243
2001,Miami,FL,25.7742658,-80.1936589,371863,66,118,2719,4307,7210
2001,New York,NY,40.76149276,-73.98143112,8023018,629,1530,28202,37812,68173
2001,Seattle,WA,47.6062095,-122.3320708,572345,25,164,1594,2367,4150
2001,National,,,,15641421,1974,5197,68114,103099,178384
2002,Chicago,IL,41.850033,-87.6500523,2938299,648,1963,18532,24842,45985
2002,Los Angeles,CA,34.0522342,-118.2436849,3830561,654,1415,17197,32429,51695
2002,Miami,FL,25.7742658,-80.1936589,379044,65,96,2706,4361,7228
2002,New York,NY,40.76149276,-73.98143112,8084693,587,1689,27229,34334,63839
2002,Seattle,WA,47.6062095,-122.3320708,580089,26,152,1576,2338,4092
2002,National,,,,15812686,1980,5315,67240,98304,172839
2003,Chicago,IL,41.850033,-87.6500523,2898374,598,1799,17302,19784,39483
2003,Los Angeles,CA,34.0522342,-118.2436849,3838838,515,1226,16577,30506,48824
2003,Miami,FL,25.7742658,-80.1936589,381651,74,107,2928,4048,7157
2003,New York,NY,40.76149276,-73.98143112,8098066,597,1609,25989,31253,59448
2003,Seattle,WA,47.6062095,-122.3320708,576296,32,174,1509,2229,3944
2003,National,,,,15793225,1816,4915,64305,87820,158856
2004,Chicago,IL,41.850033,-87.6500523,2882746,448,1757,15912,18746,36863
2004,Los Angeles,CA,34.0522342,-118.2436849,3864018,518,1131,14181,26956,42786
2004,Miami,FL,25.7742658,-80.1936589,385186,69,102,2367,3923,6461
2004,New York,NY,40.76149276,-73.98143112,8101321,570,1428,24373,29317,55688
2004,Seattle,WA,47.6062095,-122.3320708,575816,24,145,1588,2041,3798
2004,National,,,,15809087,1629,4563,58421,80983,145596
2005,Chicago,IL,41.850033,-87.6500523,2873441,448,1695,15964,17943,36050
2005,Los Angeles,CA,34.0522342,-118.2436849,3871077,489,1105,13797,16376,31767
2005,Miami,FL,25.7742658,-80.1936589,388295,54,62,2019,3999,6134
2005,New York,NY,40.76149276,-73.98143112,8115690,539,1412,24722,27950,54623
2005,Seattle,WA,47.6062095,-122.3320708,579215,25,138,1607,2339,4109
2005,National,,,,15827718,1555,4412,58109,68607,132683
2006,Chicago,IL,41.850033,-87.6500523,2857796,468,1587,15863,17445,35363
2006,Los Angeles,CA,34.0522342,-118.2436849,3879455,480,1059,14353,14634,30526
2006,Miami,FL,25.7742658,-80.1936589,392934,77,101,2111,3642,5931
2006,New York,NY,40.76149276,-73.98143112,8165001,596,1071,23511,26908,52086
2006,Seattle,WA,47.6062095,-122.3320708,583772,30,129,1667,2326,4152
2006,National,,,,15878958,1651,3947,57505,64955,128058
2007,Chicago,IL,41.850033,-87.6500523,2824434,443,1644,15425,17424,34936
2007,Los Angeles,CA,34.0522342,-118.2436849,3870487,395,1004,13481,12926,27806
2007,Miami,FL,25.7742658,-80.1936589,410252,78,57,2537,3447,6119
